field_id,x,y,plot_w,plot_h,tiles,plans,planted,headline,crop_health,health_cap,pest_boost,pest_from_bio,pest_mult,biodiversity,poll_coverage,poll_mult,disturbance,ecology_mult,fertility,weeds,weed_mult,erosion,base_per_tile,expected_total,max_total,mean_per_tile,min_per_tile,max_per_tile,mean_unrounded,yield_tiles,locked_total,main_limitation,pct_of_potential,calendar_day,season
13,19,41,3,5,15,garlic,garlic:15,Garlic · Growing · Harvest Summer,0.7337,0.8019,0.0,0.8349,0.8349,2.3583,0.7741,1.1322,0.4988,0.6259,0.8,0.0,1.0,0.1375,9,48,135,3.2,2,4,3.126,15,,Disturbance,35.6,91,WINTER
14,16,41,3,5,15,"cabbage,flax,rye",rye:15,Rye · Growing · Harvest Spring,0.7481,0.7656,0.0,0.8047,0.8047,1.875,0.8063,1.1419,0.6941,0.4795,0.8,0.0,1.0,0.1903,9,36,135,2.4,2,3,2.373,15,,Disturbance,26.7,91,WINTER
21,11,38,8,3,24,"cabbage,carrot",carrot:24,Carrot · Growing · Harvest Summer,0.8348,0.8434,0.0,0.8695,0.8695,2.9115,0.7626,1.1288,0.8153,0.3885,0.8,0.0,1.0,0.4249,9,55,216,2.292,2,3,2.292,24,,Disturbance,25.5,91,WINTER
22,13,41,2,5,10,"cabbage,rye,sage",rye:10,Rye · Growing · Harvest Spring,0.7928,0.7937,0.0,0.8281,0.8281,2.25,0.8126,1.1438,0.6225,0.5332,0.8,0.0,1.0,0.3206,9,27,90,2.7,2,3,2.883,10,,Disturbance,30.0,91,WINTER
23,10,41,2,5,10,"cabbage,flax,mint,rye",rye:10,Rye · Growing · Harvest Spring,0.8106,0.8941,0.0,0.9117,0.9117,3.5875,0.8394,1.1518,0.4916,0.6313,0.8,0.0,1.0,0.4307,9,39,90,3.9,3,5,3.869,10,,Disturbance,43.3,91,WINTER
30,8,38,3,3,9,"cabbage,flax,rye",rye:9,Rye · Growing · Harvest Spring,0.85,0.8594,0.0,0.8828,0.8828,3.125,0.9065,1.172,0.5542,0.5843,0.8,0.0,1.0,0.3621,9,33,81,3.667,3,4,3.7,9,,Disturbance,40.7,91,WINTER
31,10,46,12,2,24,"cabbage,onion",,Onion · Fallow · Harvest Summer,0.8402,0.9062,0.0,0.9219,0.9219,3.75,0.8886,1.1666,0.2133,0.84,0.8,0.0,1.0,0.3811,9,135,216,5.625,5,6,5.465,24,,Fertility,62.5,91,WINTER
